Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
< 0 $,18,pgto em dia neste banco (em aberto),carro novo,976,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,23,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),negocios,841,>= 100 < 500 $,< 7 anos,2,femi-divorciadaoucasada,n/há,4,imovel,23,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
n/há,30,conta critica / dividas com terceiros,radio ou televisao,5771,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,25,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,pgto em atraso no passado,reparos,1555,>= 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,55,n/há,gratuita,2,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,1285,n/há,< 7 anos,4,femi-divorciadaoucasada,n/há,4,n/há,32,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 200 $,6,conta critica / dividas com terceiros,carro novo,1299,< 100 $,< 4 anos,1,masc-solteiro,n/há,1,imovel,74,n/há,própria,3,desempregado-semformacao-naoresidente,2,não,não,1
>= 200 $,15,conta critica / dividas com terceiros,radio ou televisao,1271,n/há,< 4 anos,3,masc-solteiro,n/há,4,n/há,39,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,24,pgto em dia neste banco (em aberto),carro novo,1393,< 100 $,< 4 anos,2,masc-solteiro,garantidor,2,imovel,31,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,12,conta critica / dividas com terceiros,carro novo,691,< 100 $,>= 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,35,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,15,conta critica / dividas com terceiros,carro novo,5045,n/há,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,59,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,18,conta critica / dividas com terceiros,moveis e equipamentos,2124,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,imovel,24,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),radio ou televisao,2214,< 100 $,< 4 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,24,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,21,conta critica / dividas com terceiros,carro novo,12680,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,30,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,24,conta critica / dividas com terceiros,carro novo,2463,>= 100 < 500 $,< 7 anos,4,masc-casadoouviuvo,n/há,3,poupança ou seguro de vida,27,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1155,< 100 $,>= 7 anos,3,masc-casadoouviuvo,garantidor,3,imovel,40,banco,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,30,pgto em dia neste banco (em aberto),moveis e equipamentos,3108,< 100 $,< 1 ano,2,masc-divorciado,n/há,4,poupança ou seguro de vida,31,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
n/há,10,pgto em dia neste banco (em aberto),carro usado,2901,n/há,< 1 ano,1,femi-divorciadaoucasada,n/há,4,imovel,31,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,conta critica / dividas com terceiros,moveis e equipamentos,3617,< 100 $,>= 7 anos,1,masc-solteiro,n/há,4,carro ou outros-quitado,28,n/há,aluguel,3,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,radio ou televisao,1655,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,imovel,63,n/há,própria,2,empregado-semformacao-residente,1,sim,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),carro usado,2812,n/há,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,imovel,26,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,36,conta critica / dividas com terceiros,educacao,8065,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,2,n/há,25,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,21,conta critica / dividas com terceiros,carro usado,3275,< 100 $,>= 7 anos,1,masc-solteiro,n/há,4,carro ou outros-quitado,36,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,24,conta critica / dividas com terceiros,radio ou televisao,2223,>= 100 < 500 $,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,52,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,12,conta critica / dividas com terceiros,carro novo,1480,>= 500 < 1000 $,desempregado,2,masc-solteiro,n/há,4,n/há,66,banco,gratuita,3,desempregado-semformacao-naoresidente,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,1371,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,4,imovel,25,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,36,conta critica / dividas com terceiros,carro novo,3535,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,37,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),radio ou televisao,3509,< 100 $,< 7 anos,4,femi-divorciadaoucasada,garantidor,1,imovel,25,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,conta critica / dividas com terceiros,carro usado,5711,>= 1000 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,38,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),reparos,3872,< 100 $,desempregado,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,67,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,39,conta critica / dividas com terceiros,radio ou televisao,4933,< 100 $,< 7 anos,2,masc-solteiro,garantidor,2,imovel,25,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,conta critica / dividas com terceiros,carro novo,1940,>= 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,60,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,nenhum/pgto em dia,reciclagem profissional,1410,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,31,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,836,>= 100 < 500 $,< 1 ano,4,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,23,banco,própria,1,empregado-semformacao-residente,1,não,sim,2
>= 0 < 200 $,20,pgto em dia neste banco (em aberto),carro usado,6468,n/há,desempregado,1,masc-divorciado,n/há,4,imovel,60,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),negocios,1941,>= 1000 $,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,35,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
n/há,22,pgto em dia neste banco (em aberto),radio ou televisao,2675,>= 500 < 1000 $,>= 7 anos,3,masc-solteiro,n/há,4,carro ou outros-quitado,40,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,48,conta critica / dividas com terceiros,carro usado,2751,n/há,>= 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,38,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
>= 0 < 200 $,48,pgto em atraso no passado,educacao,6224,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,50,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,40,conta critica / dividas com terceiros,educacao,5998,< 100 $,< 4 anos,4,masc-solteiro,n/há,3,n/há,27,banco,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,21,pgto em dia neste banco (em aberto),negocios,1188,< 100 $,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,39,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,2
n/há,24,pgto em dia neste banco (em aberto),carro usado,6313,n/há,>= 7 anos,3,masc-solteiro,n/há,4,carro ou outros-quitado,41,n/há,própria,1,empresario-gerente-altaqualificacao,2,sim,sim,1
n/há,6,conta critica / dividas com terceiros,moveis e equipamentos,1221,n/há,< 4 anos,1,masc-casadoouviuvo,n/há,2,poupança ou seguro de vida,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,2892,< 100 $,>= 7 anos,3,masc-divorciado,n/há,4,n/há,51,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),moveis e equipamentos,3062,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,3,n/há,32,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,9,pgto em dia neste banco (em aberto),moveis e equipamentos,2301,>= 100 < 500 $,< 1 ano,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,22,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),carro usado,7511,n/há,>= 7 anos,1,masc-solteiro,n/há,4,poupança ou seguro de vida,51,n/há,gratuita,1,empregado-formadoouservidorpublico,2,sim,sim,2
n/há,12,conta critica / dividas com terceiros,moveis e equipamentos,1258,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,22,n/há,aluguel,2,empregado-semformacao-residente,1,não,sim,1
n/há,24,pgto em atraso no passado,carro novo,717,n/há,>= 7 anos,4,masc-casadoouviuvo,n/há,4,carro ou outros-quitado,54,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),carro novo,1549,n/há,< 1 ano,4,masc-solteiro,n/há,2,imovel,35,n/há,própria,1,desempregado-semformacao-naoresidente,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,educacao,1597,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,54,n/há,gratuita,2,empregado-formadoouservidorpublico,2,não,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,radio ou televisao,1795,< 100 $,>= 7 anos,3,femi-divorciadaoucasada,garantidor,4,imovel,48,banco,aluguel,2,empregado-semformacao-residente,1,sim,sim,1
< 0 $,20,conta critica / dividas com terceiros,moveis e equipamentos,4272,< 100 $,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,24,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,conta critica / dividas com terceiros,radio ou televisao,976,n/há,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,35,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,7472,n/há,desempregado,1,femi-divorciadaoucasada,n/há,2,imovel,24,n/há,aluguel,1,desempregado-semformacao-naoresidente,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),carro novo,9271,< 100 $,< 7 anos,2,masc-solteiro,n/há,1,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,6,pgto em dia neste banco (em aberto),radio ou televisao,590,< 100 $,< 1 ano,3,masc-casadoouviuvo,n/há,3,imovel,26,n/há,própria,1,empregado-semformacao-residente,1,não,não,1
n/há,12,conta critica / dividas com terceiros,radio ou televisao,930,n/há,>= 7 anos,4,masc-solteiro,n/há,4,imovel,65,n/há,própria,4,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,42,pgto em dia neste banco (quitado),carro usado,9283,< 100 $,desempregado,1,masc-solteiro,n/há,2,n/há,55,banco,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,15,nenhum/pgto em dia,carro novo,1778,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,1,imovel,26,n/há,aluguel,2,desempregado-semformacao-naoresidente,1,não,sim,2
>= 0 < 200 $,8,pgto em dia neste banco (em aberto),negocios,907,< 100 $,< 1 ano,3,masc-casadoouviuvo,n/há,2,imovel,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,6,pgto em dia neste banco (em aberto),radio ou televisao,484,< 100 $,< 7 anos,3,masc-casadoouviuvo,garantidor,3,imovel,28,banco,própria,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,36,conta critica / dividas com terceiros,carro usado,9629,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,24,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,48,pgto em dia neste banco (em aberto),eletrodomesticos,3051,< 100 $,< 4 anos,3,masc-solteiro,n/há,4,carro ou outros-quitado,54,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,48,pgto em dia neste banco (em aberto),carro novo,3931,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,n/há,46,n/há,gratuita,1,empregado-formadoouservidorpublico,2,não,sim,2
>= 0 < 200 $,36,pgto em atraso no passado,carro novo,7432,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,54,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,pgto em dia neste banco (em aberto),eletrodomesticos,1338,>= 500 < 1000 $,< 4 anos,1,masc-divorciado,n/há,4,imovel,62,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,conta critica / dividas com terceiros,radio ou televisao,1554,< 100 $,< 7 anos,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,24,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),outros,15857,< 100 $,desempregado,2,masc-divorciado,codevedor,3,carro ou outros-quitado,43,n/há,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),radio ou televisao,1345,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,3,imovel,26,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),carro novo,1101,< 100 $,< 4 anos,3,masc-casadoouviuvo,n/há,2,imovel,27,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,3016,< 100 $,< 4 anos,3,masc-casadoouviuvo,n/há,1,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),moveis e equipamentos,2712,< 100 $,>= 7 anos,2,masc-solteiro,n/há,2,poupança ou seguro de vida,41,banco,própria,1,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,8,conta critica / dividas com terceiros,carro novo,731,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,47,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,moveis e equipamentos,3780,< 100 $,< 1 ano,3,masc-divorciado,n/há,2,carro ou outros-quitado,35,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,21,conta critica / dividas com terceiros,carro novo,1602,< 100 $,>= 7 anos,4,masc-casadoouviuvo,n/há,3,carro ou outros-quitado,30,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,18,conta critica / dividas com terceiros,carro novo,3966,< 100 $,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,imovel,33,banco,aluguel,3,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,18,nenhum/pgto em dia,negocios,4165,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,36,loja,própria,2,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,36,pgto em dia neste banco (em aberto),carro usado,8335,n/há,>= 7 anos,3,masc-solteiro,n/há,4,n/há,47,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,48,pgto em atraso no passado,negocios,6681,n/há,< 4 anos,4,masc-solteiro,n/há,4,n/há,38,n/há,gratuita,1,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,24,pgto em atraso no passado,negocios,2375,>= 500 < 1000 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,44,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),carro novo,1216,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,23,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,45,nenhum/pgto em dia,negocios,11816,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,carro ou outros-quitado,29,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,5084,n/há,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,42,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,15,pgto em dia neste banco (em aberto),radio ou televisao,2327,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,3,imovel,25,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
< 0 $,12,nenhum/pgto em dia,carro novo,1082,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,48,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,886,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,21,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,4,pgto em dia neste banco (em aberto),moveis e equipamentos,601,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,3,imovel,23,n/há,aluguel,1,empregado-semformacao-residente,2,não,sim,1
< 0 $,24,conta critica / dividas com terceiros,carro usado,2957,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,63,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,conta critica / dividas com terceiros,radio ou televisao,2611,< 100 $,>= 7 anos,4,masc-casadoouviuvo,codevedor,3,imovel,46,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),moveis e equipamentos,5179,< 100 $,< 7 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,29,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,21,pgto em atraso no passado,carro usado,2993,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,imovel,28,loja,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),reparos,1943,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,imovel,23,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,pgto em dia neste banco (quitado),negocios,1559,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,50,banco,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,18,pgto em dia neste banco (em aberto),moveis e equipamentos,3422,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,47,banco,própria,3,empregado-formadoouservidorpublico,2,sim,sim,1
>= 0 < 200 $,21,pgto em dia neste banco (em aberto),moveis e equipamentos,3976,n/há,< 7 anos,2,masc-solteiro,n/há,3,carro ou outros-quitado,35,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,18,pgto em dia neste banco (em aberto),carro novo,6761,n/há,< 4 anos,2,masc-solteiro,n/há,4,carro ou outros-quitado,68,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,pgto em dia neste banco (em aberto),carro novo,1249,< 100 $,< 1 ano,4,masc-casadoouviuvo,n/há,2,imovel,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,9,pgto em dia neste banco (em aberto),radio ou televisao,1364,< 100 $,< 7 anos,3,masc-solteiro,n/há,4,imovel,59,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),radio ou televisao,709,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,57,loja,própria,1,empregado-semformacao-residente,1,não,sim,2
< 0 $,20,conta critica / dividas com terceiros,carro novo,2235,< 100 $,< 4 anos,4,masc-casadoouviuvo,garantidor,2,poupança ou seguro de vida,33,banco,aluguel,2,empregado-formadoouservidorpublico,1,não,não,2
n/há,24,conta critica / dividas com terceiros,carro usado,4042,n/há,< 7 anos,3,masc-solteiro,n/há,4,poupança ou seguro de vida,43,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,15,conta critica / dividas com terceiros,radio ou televisao,1471,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,n/há,35,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,18,pgto em dia neste banco (quitado),carro novo,1442,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,n/há,32,n/há,gratuita,2,empregado-semformacao-residente,2,não,sim,2
n/há,36,pgto em atraso no passado,carro novo,10875,< 100 $,>= 7 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,45,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),carro novo,1474,>= 100 < 500 $,< 1 ano,4,masc-casadoouviuvo,n/há,3,imovel,33,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,10,pgto em dia neste banco (em aberto),reciclagem profissional,894,n/há,< 7 anos,4,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,40,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,15,conta critica / dividas com terceiros,moveis e equipamentos,3343,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,n/há,28,n/há,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,15,pgto em dia neste banco (em aberto),carro novo,3959,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,29,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,9,pgto em dia neste banco (em aberto),carro novo,3577,>= 100 < 500 $,< 4 anos,1,masc-solteiro,garantidor,2,imovel,26,n/há,aluguel,1,empregado-formadoouservidorpublico,2,não,não,1
n/há,24,conta critica / dividas com terceiros,carro usado,5804,>= 1000 $,< 4 anos,4,masc-solteiro,n/há,2,imovel,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em atraso no passado,negocios,2169,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),radio ou televisao,2439,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,imovel,35,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,27,conta critica / dividas com terceiros,moveis e equipamentos,4526,>= 1000 $,< 1 ano,4,masc-solteiro,n/há,2,imovel,32,loja,própria,2,empregado-semformacao-residente,2,sim,sim,1
n/há,10,pgto em dia neste banco (em aberto),moveis e equipamentos,2210,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,25,banco,aluguel,1,empregado-semformacao-residente,1,não,sim,2
n/há,15,pgto em dia neste banco (em aberto),moveis e equipamentos,2221,>= 500 < 1000 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,20,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),radio ou televisao,2389,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,27,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,conta critica / dividas com terceiros,moveis e equipamentos,3331,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,42,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,pgto em dia neste banco (em aberto),negocios,7409,n/há,>= 7 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,37,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,652,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,24,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,pgto em atraso no passado,moveis e equipamentos,7678,>= 500 < 1000 $,< 7 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,40,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,6,conta critica / dividas com terceiros,carro novo,1343,< 100 $,>= 7 anos,1,masc-solteiro,n/há,4,imovel,46,n/há,própria,2,empregado-formadoouservidorpublico,2,não,não,1
< 0 $,24,conta critica / dividas com terceiros,negocios,1382,>= 100 < 500 $,< 7 anos,4,masc-solteiro,n/há,1,imovel,26,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,15,pgto em dia neste banco (em aberto),eletrodomesticos,874,n/há,< 1 ano,4,femi-divorciadaoucasada,n/há,1,imovel,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,3590,< 100 $,< 4 anos,2,masc-solteiro,codevedor,2,poupança ou seguro de vida,29,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
>= 0 < 200 $,11,conta critica / dividas com terceiros,carro novo,1322,>= 1000 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,40,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (quitado),radio ou televisao,1940,< 100 $,< 1 ano,3,masc-solteiro,codevedor,4,n/há,36,banco,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,36,pgto em dia neste banco (em aberto),radio ou televisao,3595,< 100 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,9,pgto em dia neste banco (em aberto),carro novo,1422,< 100 $,< 1 ano,3,masc-solteiro,n/há,2,n/há,27,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,2
